"","participant","workerId","browser","beginhit","feedback","trial.number","stimulus","glyphs","moves","isTestTrial","LongOrder","ShortOrder","IsTransitive","IsComplete","Animacy"
"12.14",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",14,"girl-rubbing-heart.mp4","S:g6 O:g10 V:g3","[{""src"":""g13.png"",""x"":360,""y"":108},{""src"":""g13.png"",""x"":98,""y"":398},{""src"":""g6.png"",""x"":330,""y"":67},{""src"":""g3.png"",""x"":425,""y"":74},{""src"":""g10.png"",""x"":527,""y"":60}]",1,"SVO","SVO",1,1,NA
"12.15",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",15,"boy-kicking-ball.mp4","S:g1 O:g2 V:g9","[{""src"":""g1.png"",""x"":309,""y"":123},{""src"":""g9.png"",""x"":426,""y"":158},{""src"":""g2.png"",""x"":540,""y"":153}]",1,"SVO","SVO",1,1,NA
"12.16",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",16,"fireman-pushing-boy.mp4","S:g4 O:g1 V:g8","[{""src"":""g4.png"",""x"":330,""y"":120},{""src"":""g8.png"",""x"":438,""y"":126},{""src"":""g1.png"",""x"":531,""y"":122}]",1,"SVO","SVO",1,1,"animate"
"12.18",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",18,"oldlady-rubbing-fireman.mp4","S:g15 O:g4 V:g3","[{""src"":""g15.png"",""x"":328,""y"":116},{""src"":""g3.png"",""x"":433,""y"":117},{""src"":""g4.png"",""x"":545,""y"":109}]",1,"SVO","SVO",1,1,"animate"
"12.20",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",20,"girl-pushing-car.mp4","S:g6 O:g5 V:g8","[{""src"":""g6.png"",""x"":353,""y"":121},{""src"":""g8.png"",""x"":460,""y"":126},{""src"":""g4.png"",""x"":19,""y"":397},{""src"":""g5.png"",""x"":557,""y"":122}]",1,"SVO","SVO",1,1,NA
"12.21",12,"A1A3TGZ7DKJWRW","chrome","2015-05-27 02:09:50.746824","{""Q0"":""None"",""Q1"":""no"",""Q2"":""no"",""Q3"":""Yes""}",21,"ball-rolling-none.mp4","S:g2 O:none V:g13","[{""src"":""g2.png"",""x"":327,""y"":105},{""src"":""g13.png"",""x"":453,""y"":108}]",1,"SV","SV",0,1,"inanimate"
"7.1",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",1,"PracticeImage","g1","[{""src"":""g1.png"",""x"":68,""y"":54},{""src"":""g1.png"",""x"":633,""y"":61},{""src"":""g1.png"",""x"":341,""y"":116},{""src"":""g1.png"",""x"":627,""y"":85}]",0,"GGGG","G",0,1,NA
"7.2",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",2,"PracticeImage","g13","[{""src"":""g13.png"",""x"":618,""y"":96},{""src"":""g13.png"",""x"":99,""y"":121},{""src"":""g13.png"",""x"":337,""y"":95},{""src"":""g13.png"",""x"":326,""y"":128}]",0,"GGGG","G",0,1,NA
"7.3",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",3,"car-tumbling-none.mp4","S:g1 O:none V:g3","[{""src"":""g1.png"",""x"":424,""y"":157},{""src"":""g3.png"",""x"":534,""y"":215},{""src"":""g1.png"",""x"":414,""y"":211}]",0,"SVS","SV",0,1,"inanimate"
"7.4",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",4,"girl-pushing-ball.mp4","S:g10 O:g8 V:g16","[{""src"":""g10.png"",""x"":406,""y"":207},{""src"":""g16.png"",""x"":506,""y"":217},{""src"":""g8.png"",""x"":612,""y"":208}]",0,"SVO","SVO",1,1,NA
"7.5",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",5,"boy-lifting-girl.mp4","S:g12 O:g10 V:g4","[{""src"":""g12.png"",""x"":411,""y"":213},{""src"":""g5.png"",""x"":511,""y"":208},{""src"":""g5.png"",""x"":106,""y"":401},{""src"":""g5.png"",""x"":101,""y"":400},{""src"":""g4.png"",""x"":515,""y"":211},{""src"":""g10.png"",""x"":622,""y"":210}]",1,"SVO","SVO",1,1,"animate"
"7.7",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",7,"ball-rolling-none.mp4","S:g8 O:none V:g5","[{""src"":""g8.png"",""x"":439,""y"":207},{""src"":""g5.png"",""x"":543,""y"":205}]",1,"SV","SV",0,1,"inanimate"
"7.9",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",9,"girl-kissing-boy.mp4","S:g10 O:g12 V:g2","[{""src"":""g10.png"",""x"":403,""y"":207},{""src"":""g2.png"",""x"":503,""y"":207},{""src"":""g12.png"",""x"":610,""y"":207}]",1,"SVO","SVO",1,1,"animate"
"7.11",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",11,"girl-elbowing-oldlady.mp4","S:g10 O:g13 V:g11","[{""src"":""g10.png"",""x"":401,""y"":196},{""src"":""g11.png"",""x"":508,""y"":202},{""src"":""g13.png"",""x"":616,""y"":207}]",1,"SVO","SVO",1,1,"animate"
"7.12",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",12,"girl-tumbling-none.mp4","S:g10 O:none V:g3","[{""src"":""g10.png"",""x"":412,""y"":190},{""src"":""g3.png"",""x"":515,""y"":192}]",1,"SV","SV",0,1,"inanimate"
"7.14",7,"A1PZ1YZAQEXRSQ","chrome","2015-05-27 00:36:07.946980","{""Q0"":""About half way through the last part the videos started to show up blank, at first I just put three random symbols, but then I just decided I wouldn't put anything and just skip them. I am not sure what happened."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}",14,"boy-kicking-ball.mp4","S:g12 O:g8 V:g6","[{""src"":""g12.png"",""x"":409,""y"":228},{""src"":""g6.png"",""x"":515,""y"":226},{""src"":""g8.png"",""x"":625,""y"":226}]",1,"SVO","SVO",1,1,NA
"5.1",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",1,"PracticeImage","g8","[{""src"":""g8.png"",""x"":302.9600067138672,""y"":177.04000854492187},{""src"":""g8.png"",""x"":627.4099884033203,""y"":64.43998527526855},{""src"":""g8.png"",""x"":80.72996520996094,""y"":74.05998802185058},{""src"":""g8.png"",""x"":642.1999969482422,""y"":37.009992599487305}]",0,"GGGG","G",0,1,NA
"5.2",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",2,"PracticeImage","g7","[{""src"":""g7.png"",""x"":630.3699798583984,""y"":68.8900146484375}]",0,"G","G",0,1,NA
"5.3",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",3,"girl-pushing-ball.mp4","S:g11 O:g3 V:g5","[{""src"":""g6.png"",""x"":233.3300018310547,""y"":371.85003662109375},{""src"":""g6.png"",""x"":203.7000274658203,""y"":399.25994873046875},{""src"":""g11.png"",""x"":646.6699981689453,""y"":97.02999877929687},{""src"":""g5.png"",""x"":630.3700103759766,""y"":94.07000732421875},{""src"":""g3.png"",""x"":661.4799957275391,""y"":105.18998718261719}]",0,"SVO","SVO",1,1,NA
"5.4",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",4,"car-tumbling-none.mp4","S:g8 O:none V:g6","[{""src"":""g8.png"",""x"":650.3699798583984,""y"":111.86001586914062},{""src"":""g8.png"",""x"":651.0999908447266,""y"":82.22999000549316},{""src"":""g6.png"",""x"":643.6999053955078,""y"":99.99998474121094}]",0,"SSV","SV",0,1,"inanimate"
"5.6",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",6,"boy-kicking-ball.mp4","S:g14 O:g3 V:g9","[{""src"":""g14.png"",""x"":634.0800323486328,""y"":78.5100326538086},{""src"":""g9.png"",""x"":640.7399444580078,""y"":77.78002166748047},{""src"":""g3.png"",""x"":624.4399719238281,""y"":80.73998260498047}]",1,"SVO","SVO",1,1,NA
"5.7",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",7,"girl-elbowing-oldlady.mp4","S:g11 O:g7 V:g16","[{""src"":""g11.png"",""x"":634.0699615478516,""y"":75.55999755859375},{""src"":""g16.png"",""x"":648.8899993896484,""y"":85.19001770019531},{""src"":""g7.png"",""x"":663.6999664306641,""y"":88.88996887207031}]",1,"SVO","SVO",1,1,"animate"
"5.8",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",8,"fireman-pushing-boy.mp4","S:g2 O:g14 V:g5","[{""src"":""g2.png"",""x"":626.6600189208984,""y"":86.66999053955078},{""src"":""g5.png"",""x"":652.5899810791016,""y"":90.36998748779297},{""src"":""g14.png"",""x"":628.8899841308594,""y"":85.91997528076172}]",1,"SVO","SVO",1,1,"animate"
"5.9",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",9,"car-rolling-none.mp4","S:g8 O:none V:g10","[{""src"":""g8.png"",""x"":585.1899871826172,""y"":137.04000854492187},{""src"":""g8.png"",""x"":634.8100128173828,""y"":86.67000198364258},{""src"":""g10.png"",""x"":650.3700103759766,""y"":98.51998901367187}]",1,"SSV","SV",0,1,"inanimate"
"5.10",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",10,"fireman-kicking-girl.mp4","S:g2 O:g11 V:g9","[{""src"":""g2.png"",""x"":642.2300567626953,""y"":85.17997741699219},{""src"":""g9.png"",""x"":631.1100006103516,""y"":85.93000793457031},{""src"":""g11.png"",""x"":649.6300048828125,""y"":99.260009765625}]",1,"SVO","SVO",1,1,"animate"
"5.11",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",11,"ball-rolling-none.mp4","S:g3 O:none V:g10","[{""src"":""g3.png"",""x"":638.5200347900391,""y"":59.999969482421875},{""src"":""g10.png"",""x"":635.5600128173828,""y"":92.60002899169922}]",1,"SV","SV",0,1,"inanimate"
"5.12",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",12,"girl-kissing-boy.mp4","S:g11 O:g14 V:g15","[{""src"":""g11.png"",""x"":608.8899688720703,""y"":93.32997131347656},{""src"":""g15.png"",""x"":657.7800445556641,""y"":92.60002136230469},{""src"":""g14.png"",""x"":630.3699798583984,""y"":91.11997985839844}]",1,"SVO","SVO",1,1,"animate"
"5.13",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",13,"oldlady-kissing-ball.mp4","S:g7 O:g3 V:g15","[{""src"":""g7.png"",""x"":644.4499969482422,""y"":80.73997497558594},{""src"":""g15.png"",""x"":650.3699493408203,""y"":98.52001953125},{""src"":""g3.png"",""x"":647.4099884033203,""y"":85.9200439453125}]",1,"SVO","SVO",1,1,NA
"5.14",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",14,"boy-rolling-none.mp4","S:g14 O:none V:g10","[{""src"":""g14.png"",""x"":642.2199859619141,""y"":88.1400146484375},{""src"":""g10.png"",""x"":657.7799835205078,""y"":89.63003540039062}]",1,"SV","SV",0,1,"inanimate"
"5.18",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",18,"boy-lifting-girl.mp4","S:g14 O:g11 V:g13","[{""src"":""g14.png"",""x"":633.3300094604492,""y"":79.25994873046875},{""src"":""g13.png"",""x"":632.5900115966797,""y"":100.00001525878906},{""src"":""g11.png"",""x"":658.5099945068359,""y"":85.92997741699219}]",1,"SVO","SVO",1,1,"animate"
"5.19",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",19,"girl-tumbling-none.mp4","S:g11 O:none V:g6","[{""src"":""g11.png"",""x"":602.9600067138672,""y"":169.62998962402344},{""src"":""g11.png"",""x"":642.2199249267578,""y"":84.42999267578125},{""src"":""g6.png"",""x"":662.2299346923828,""y"":91.85000610351562},{""src"":""g6.png"",""x"":604.4400177001953,""y"":210.36998558044434},{""src"":""g6.png"",""x"":646.6599273681641,""y"":99.98999786376953}]",1,"SSVVV","SV",0,1,"inanimate"
"5.20",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",20,"girl-pushing-car.mp4","S:g11 O:g8 V:g5","[{""src"":""g11.png"",""x"":646.6699981689453,""y"":92.58999633789062},{""src"":""g5.png"",""x"":633.3300323486328,""y"":85.18998718261719},{""src"":""g8.png"",""x"":631.1200103759766,""y"":85.93000793457031}]",1,"SVO","SVO",1,1,NA
"5.21",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",21,"fireman-lifting-car.mp4","S:g2 O:g8 V:g13","[{""src"":""g2.png"",""x"":648.1400299072266,""y"":99.99996948242187},{""src"":""g13.png"",""x"":639.2600250244141,""y"":86.66996765136719},{""src"":""g8.png"",""x"":675.5499420166016,""y"":94.81999206542969}]",1,"SVO","SVO",1,1,NA
"5.22",5,"A1XILS2KA5CZJQ","seamonkey","2015-05-27 00:35:14.221538","{""Q0"":"""",""Q1"":""Yes, but I did not look at it after I copied them."",""Q2"":"""",""Q3"":""Yes""}",22,"fireman-throwing-ball.mp4","S:g2 O:g3 V:g4","[{""src"":""g2.png"",""x"":649.6299591064453,""y"":85.19001007080078},{""src"":""g4.png"",""x"":657.0299835205078,""y"":75.55001068115234},{""src"":""g3.png"",""x"":639.9999847412109,""y"":88.15001678466797}]",1,"SVO","SVO",1,1,NA
"1.1",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",1,"PracticeImage","g5","[{""src"":""g5.png"",""x"":684,""y"":53}]",0,"G","G",0,1,NA
"1.2",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",2,"PracticeImage","g1","[{""src"":""g1.png"",""x"":697,""y"":0}]",0,"G","G",0,1,NA
"1.8",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",8,"girl-tumbling-none.mp4","S:g12 O:none V:g3","[{""src"":""g12.png"",""x"":627,""y"":27},{""src"":""g3.png"",""x"":634,""y"":81}]",1,"SV","SV",0,1,"inanimate"
"1.9",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",9,"girl-throwing-oldlady.mp4","S:g12 O:g5 V:g7","[{""src"":""g12.png"",""x"":650,""y"":84},{""src"":""g5.png"",""x"":653,""y"":19},{""src"":""g7.png"",""x"":703,""y"":48}]",1,"SOV","SOV",1,1,"animate"
"1.10",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",10,"girl-rubbing-heart.mp4","S:g12 O:g10 V:g14","[{""src"":""g10.png"",""x"":688,""y"":60},{""src"":""g14.png"",""x"":619,""y"":134},{""src"":""g12.png"",""x"":700,""y"":395},{""src"":""g12.png"",""x"":608,""y"":39}]",1,"OVSS","OVS",1,1,NA
"1.11",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",11,"oldlady-kissing-ball.mp4","S:g5 O:g8 V:g16","[{""src"":""g16.png"",""x"":637,""y"":48},{""src"":""g5.png"",""x"":688,""y"":84},{""src"":""g8.png"",""x"":623,""y"":107}]",1,"VSO","VSO",1,1,NA
"1.13",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",13,"fireman-throwing-ball.mp4","S:g2 O:g8 V:g7","[{""src"":""g2.png"",""x"":619,""y"":110},{""src"":""g8.png"",""x"":679,""y"":76},{""src"":""g7.png"",""x"":638,""y"":41}]",1,"SOV","SOV",1,1,NA
"1.15",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",15,"girl-elbowing-oldlady.mp4","S:g12 O:g5 V:g9","[{""src"":""g9.png"",""x"":663,""y"":72},{""src"":""g5.png"",""x"":637,""y"":101},{""src"":""g12.png"",""x"":648,""y"":0}]",1,"VOS","VOS",1,1,"animate"
"1.16",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",16,"oldlady-rubbing-fireman.mp4","S:g5 O:g2 V:g14","[{""src"":""g16.png"",""x"":107,""y"":503},{""src"":""g5.png"",""x"":641,""y"":126},{""src"":""g2.png"",""x"":643,""y"":50},{""src"":""g14.png"",""x"":615,""y"":95}]",1,"SOV","SOV",1,1,"animate"
"1.17",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",17,"girl-kissing-boy.mp4","S:g12 O:g4 V:g16","[{""src"":""g12.png"",""x"":666,""y"":69},{""src"":""g4.png"",""x"":642,""y"":96},{""src"":""g16.png"",""x"":642,""y"":24}]",1,"SOV","SOV",1,1,"animate"
"1.18",1,"A1ZIAVRGKNMLEH","chrome","2015-05-27 00:33:45.025088","{""Q0"":""I tried to relate the symbols to things, like the heart was the smiley looking symbol and such."",""Q1"":""No, I did not. "",""Q2"":""No I did not."",""Q3"":""I think so, but I may have gotten a couple of them confused. ""}",18,"oldlady-elbowing-heart.mp4","S:g5 O:g10 V:g9","[{""src"":""g10.png"",""x"":653,""y"":76},{""src"":""g9.png"",""x"":613,""y"":47},{""src"":""g5.png"",""x"":670,""y"":12}]",1,"OVS","OVS",1,1,NA
